Condition_Pair,Band,Subject,Channel,Feature_Type,Feature,Source_Column,BCF,ACF,Change,Change_Percent,Direction
BCF_vs_ACF,Gamma,1,AF7,EN,Entropy,RAW_AF7_EN,5.412798682968103,5.409176925790644,-0.0036217571774592727,-0.06691098985180224,Decrease
BCF_vs_ACF,Gamma,1,AF7,BP,Gamma Band Power,RAW_AF7_BP_Gamma,723252.0341851456,676191.2262319411,-47060.807953204494,-6.506833818480126,Decrease
BCF_vs_ACF,Gamma,1,AF7,RP,Gamma Relative Power,RAW_AF7_RP_Gamma,0.3831137678673015,0.3788863138283516,-0.004227454038949918,-1.1034461284132642,Decrease
BCF_vs_ACF,Gamma,1,AF7,HJ,Hjorth Activity,RAW_AF7_HJ_Activity,1890338.981543269,1832535.529115008,-57803.45242826105,-3.0578352873552035,Decrease
BCF_vs_ACF,Gamma,1,AF7,HJ,Hjorth Complexity,RAW_AF7_HJ_Complexity,1.3264043750763,1.334524993908265,0.008120618831965132,0.6122279890322287,Increase
BCF_vs_ACF,Gamma,1,AF7,HJ,Hjorth Mobility,RAW_AF7_HJ_Mobility,0.6622206637514538,0.6608179916545807,-0.0014026720968731698,-0.21181339901522978,Decrease
BCF_vs_ACF,Gamma,1,AF8,EN,Entropy,RAW_AF8_EN,5.417019680556031,5.410144956500225,-0.006874724055806247,-0.12690971163502568,Decrease
BCF_vs_ACF,Gamma,1,AF8,BP,Gamma Band Power,RAW_AF8_BP_Gamma,659678.0523942964,714691.0882059039,55013.03581160749,8.339376399129561,Increase
BCF_vs_ACF,Gamma,1,AF8,RP,Gamma Relative Power,RAW_AF8_RP_Gamma,0.3823755091764046,0.3840090722702359,0.0016335630938312806,0.427214362486185,Increase
BCF_vs_ACF,Gamma,1,AF8,HJ,Hjorth Activity,RAW_AF8_HJ_Activity,1747678.2167943493,1911377.399355324,163699.18256097473,9.36666607089933,Increase
BCF_vs_ACF,Gamma,1,AF8,HJ,Hjorth Complexity,RAW_AF8_HJ_Complexity,1.329878027621703,1.3291108400666425,-0.0007671875550605556,-0.05768856535155792,Decrease
BCF_vs_ACF,Gamma,1,AF8,HJ,Hjorth Mobility,RAW_AF8_HJ_Mobility,0.6612778244212462,0.6623775343937741,0.0010997099725279513,0.16630074862867558,Increase
BCF_vs_ACF,Gamma,1,TP10,EN,Entropy,RAW_TP10_EN,5.403511703449143,5.3961810697218695,-0.0073306337272738276,-0.13566425187151113,Decrease
BCF_vs_ACF,Gamma,1,TP10,BP,Gamma Band Power,RAW_TP10_BP_Gamma,670591.6426995399,697553.9681053511,26962.325405811192,4.020677218295087,Increase
BCF_vs_ACF,Gamma,1,TP10,RP,Gamma Relative Power,RAW_TP10_RP_Gamma,0.3925931347095644,0.3774161542858375,-0.015176980423726893,-3.865829298047873,Decrease
BCF_vs_ACF,Gamma,1,TP10,HJ,Hjorth Activity,RAW_TP10_HJ_Activity,1714110.9476763215,1834664.3266106893,120553.37893436779,7.0329974321552555,Increase
BCF_vs_ACF,Gamma,1,TP10,HJ,Hjorth Complexity,RAW_TP10_HJ_Complexity,1.3179391140335228,1.333406239878593,0.015467125845070262,1.173584248344635,Increase
BCF_vs_ACF,Gamma,1,TP10,HJ,Hjorth Mobility,RAW_TP10_HJ_Mobility,0.6672621057552968,0.6577277513708661,-0.009534354384430621,-1.4288769438867444,Decrease
BCF_vs_ACF,Gamma,1,TP9,EN,Entropy,RAW_TP9_EN,5.405409143177643,5.4116327225152965,0.006223579337653717,0.11513613813135155,Increase
BCF_vs_ACF,Gamma,1,TP9,BP,Gamma Band Power,RAW_TP9_BP_Gamma,655063.2284515963,689322.3725200937,34259.14406849735,5.229898822053757,Increase
BCF_vs_ACF,Gamma,1,TP9,RP,Gamma Relative Power,RAW_TP9_RP_Gamma,0.3774490773335096,0.3803256074418976,0.002876530108388009,0.7620975334498806,Increase
BCF_vs_ACF,Gamma,1,TP9,HJ,Hjorth Activity,RAW_TP9_HJ_Activity,1731344.0356779806,1813921.4506708256,82577.41499284492,4.7695555182080405,Increase
BCF_vs_ACF,Gamma,1,TP9,HJ,Hjorth Complexity,RAW_TP9_HJ_Complexity,1.3383556584665897,1.3337232714037504,-0.004632387062839305,-0.34612526450157693,Decrease
BCF_vs_ACF,Gamma,1,TP9,HJ,Hjorth Mobility,RAW_TP9_HJ_Mobility,0.6580955631546617,0.6603935549313747,0.002297991776713082,0.34918815828166,Increase
BCF_vs_ACF,Gamma,2,AF7,EN,Entropy,RAW_AF7_EN,5.405962081831756,5.406527805469658,0.0005657236379015274,0.010464809581310224,Increase
BCF_vs_ACF,Gamma,2,AF7,BP,Gamma Band Power,RAW_AF7_BP_Gamma,762591.0027381346,758606.0783652362,-3984.9243728984147,-0.5225506672109,Decrease
BCF_vs_ACF,Gamma,2,AF7,RP,Gamma Relative Power,RAW_AF7_RP_Gamma,0.3857301930254525,0.3917719533799056,0.006041760354453141,1.5663177173311071,Increase
BCF_vs_ACF,Gamma,2,AF7,HJ,Hjorth Activity,RAW_AF7_HJ_Activity,1952198.9299499155,1997549.0052655693,45350.07531565381,2.3230253136557804,Increase
BCF_vs_ACF,Gamma,2,AF7,HJ,Hjorth Complexity,RAW_AF7_HJ_Complexity,1.3294098657147482,1.3217037941713468,-0.007706071543401416,-0.5796610768536985,Decrease
BCF_vs_ACF,Gamma,2,AF7,HJ,Hjorth Mobility,RAW_AF7_HJ_Mobility,0.6633556642750811,0.6649351319590393,0.0015794676839582245,0.23810269046006804,Increase
BCF_vs_ACF,Gamma,2,AF8,EN,Entropy,RAW_AF8_EN,5.411384185278304,5.40613424329809,-0.00524994198021389,-0.09701661904723716,Decrease
BCF_vs_ACF,Gamma,2,AF8,BP,Gamma Band Power,RAW_AF8_BP_Gamma,746975.8227295157,859693.4778228289,112717.6550933132,15.089866587841211,Increase
BCF_vs_ACF,Gamma,2,AF8,RP,Gamma Relative Power,RAW_AF8_RP_Gamma,0.3872152447200627,0.3844403051796174,-0.002774939540445276,-0.7166400544098978,Decrease
BCF_vs_ACF,Gamma,2,AF8,HJ,Hjorth Activity,RAW_AF8_HJ_Activity,1947059.7586160183,2242802.1195969125,295742.3609808942,15.189177408253233,Increase
BCF_vs_ACF,Gamma,2,AF8,HJ,Hjorth Complexity,RAW_AF8_HJ_Complexity,1.3208192721236185,1.3186100817365929,-0.0022091903870256058,-0.1672590969598483,Decrease
BCF_vs_ACF,Gamma,2,AF8,HJ,Hjorth Mobility,RAW_AF8_HJ_Mobility,0.6643269253250604,0.6686714100849078,0.004344484759847389,0.6539678875309168,Increase
BCF_vs_ACF,Gamma,2,TP10,EN,Entropy,RAW_TP10_EN,5.405942909755721,5.414365928464452,0.008423018708731078,0.15581035259419138,Increase
BCF_vs_ACF,Gamma,2,TP10,BP,Gamma Band Power,RAW_TP10_BP_Gamma,617532.3516445763,799550.6592787805,182018.30763420416,29.475104769728027,Increase
BCF_vs_ACF,Gamma,2,TP10,RP,Gamma Relative Power,RAW_TP10_RP_Gamma,0.3682884140753684,0.3799652308496181,0.011676816774249699,3.1705631586499208,Increase
BCF_vs_ACF,Gamma,2,TP10,HJ,Hjorth Activity,RAW_TP10_HJ_Activity,1722437.2170327832,2113028.8715173844,390591.6544846012,22.676684561975943,Increase
BCF_vs_ACF,Gamma,2,TP10,HJ,Hjorth Complexity,RAW_TP10_HJ_Complexity,1.357337643542842,1.3368101887867705,-0.020527454756071428,-1.5123322375773716,Decrease
BCF_vs_ACF,Gamma,2,TP10,HJ,Hjorth Mobility,RAW_TP10_HJ_Mobility,0.6492883124353307,0.6601236880546675,0.010835375619336785,1.6688080490307593,Increase
BCF_vs_ACF,Gamma,2,TP9,EN,Entropy,RAW_TP9_EN,5.408865132216425,5.4109620565156495,0.0020969242992245896,0.03876828591518827,Increase
BCF_vs_ACF,Gamma,2,TP9,BP,Gamma Band Power,RAW_TP9_BP_Gamma,692207.2768697791,680568.0209432291,-11639.255926550017,-1.6814697440315471,Decrease
BCF_vs_ACF,Gamma,2,TP9,RP,Gamma Relative Power,RAW_TP9_RP_Gamma,0.3777394365634445,0.3787996434893975,0.001060206925952989,0.2806714955680616,Increase
BCF_vs_ACF,Gamma,2,TP9,HJ,Hjorth Activity,RAW_TP9_HJ_Activity,1854816.0208358727,1839909.63025752,-14906.390578352846,-0.8036587139049662,Decrease
