Condition_Pair,Band,Subject,Channel,Feature_Type,Feature,Source_Column,BCM,ACM,Change,Change_Percent,Direction
BCM_vs_ACM,Gamma,1,AF7,EN,Entropy,RAW_AF7_EN,5.415521477463908,5.403649980913499,-0.011871496550409866,-0.21921243595490816,Decrease
BCM_vs_ACM,Gamma,1,AF7,BP,Gamma Band Power,RAW_AF7_BP_Gamma,715822.3579707297,878479.7594465951,162657.4014758654,22.723151863680197,Increase
BCM_vs_ACM,Gamma,1,AF7,RP,Gamma Relative Power,RAW_AF7_RP_Gamma,0.3813558725965804,0.3896254599438775,0.008269587347297103,2.1684699100058533,Increase
BCM_vs_ACM,Gamma,1,AF7,HJ,Hjorth Activity,RAW_AF7_HJ_Activity,1888857.025894148,2287055.8419164885,398198.81602234044,21.081469405226205,Increase
BCM_vs_ACM,Gamma,1,AF7,HJ,Hjorth Complexity,RAW_AF7_HJ_Complexity,1.3282326656750945,1.3219383948186103,-0.006294270856484152,-0.4738831545966379,Decrease
BCM_vs_ACM,Gamma,1,AF7,HJ,Hjorth Mobility,RAW_AF7_HJ_Mobility,0.6616705584490894,0.6666853068092901,0.00501474836020066,0.7578920198527328,Increase
BCM_vs_ACM,Gamma,1,AF8,EN,Entropy,RAW_AF8_EN,5.418397892834423,5.386356947858209,-0.032040944976214014,-0.5913361404961909,Decrease
BCM_vs_ACM,Gamma,1,AF8,BP,Gamma Band Power,RAW_AF8_BP_Gamma,663927.268541479,694957.9527616862,31030.684220207157,4.673807763367759,Increase
BCM_vs_ACM,Gamma,1,AF8,RP,Gamma Relative Power,RAW_AF8_RP_Gamma,0.3815265843270709,0.3657320125184636,-0.01579457180860727,-4.139835192995903,Decrease
BCM_vs_ACM,Gamma,1,AF8,HJ,Hjorth Activity,RAW_AF8_HJ_Activity,1760650.294298326,1961704.5336648764,201054.23936655046,11.419317056751286,Increase
BCM_vs_ACM,Gamma,1,AF8,HJ,Hjorth Complexity,RAW_AF8_HJ_Complexity,1.3306058343729537,1.3469218652650383,0.016316030892084665,1.2262106831790327,Increase
BCM_vs_ACM,Gamma,1,AF8,HJ,Hjorth Mobility,RAW_AF8_HJ_Mobility,0.6611346251779511,0.6481726748759531,-0.012961950301997982,-1.9605614058572627,Decrease
BCM_vs_ACM,Gamma,1,TP10,EN,Entropy,RAW_TP10_EN,5.402517869750897,5.408569930317584,0.006052060566687167,0.11202296248890004,Increase
BCM_vs_ACM,Gamma,1,TP10,BP,Gamma Band Power,RAW_TP10_BP_Gamma,669587.924432916,781844.9701027985,112257.04566988256,16.765094108433143,Increase
BCM_vs_ACM,Gamma,1,TP10,RP,Gamma Relative Power,RAW_TP10_RP_Gamma,0.3922612893962398,0.375057057704496,-0.017204231691743788,-4.385911166055711,Decrease
BCM_vs_ACM,Gamma,1,TP10,HJ,Hjorth Activity,RAW_TP10_HJ_Activity,1721781.1490409155,2105283.514364718,383502.36532380246,22.27358369775537,Increase
BCM_vs_ACM,Gamma,1,TP10,HJ,Hjorth Complexity,RAW_TP10_HJ_Complexity,1.316488932243307,1.3386085273068622,0.022119595063555098,1.6801960519229844,Increase
BCM_vs_ACM,Gamma,1,TP10,HJ,Hjorth Mobility,RAW_TP10_HJ_Mobility,0.6660315338308899,0.6563683960206742,-0.00966313781021566,-1.450852898005457,Decrease
BCM_vs_ACM,Gamma,1,TP9,EN,Entropy,RAW_TP9_EN,5.4071337018069405,5.40744848152453,0.0003147797175895306,0.005821563418791335,Increase
BCM_vs_ACM,Gamma,1,TP9,BP,Gamma Band Power,RAW_TP9_BP_Gamma,654444.7484146603,817836.788275108,163392.03986044764,24.966514019136326,Increase
BCM_vs_ACM,Gamma,1,TP9,RP,Gamma Relative Power,RAW_TP9_RP_Gamma,0.3771537410850767,0.3821340923234781,0.004980351238401404,1.3205095683454875,Increase
BCM_vs_ACM,Gamma,1,TP9,HJ,Hjorth Activity,RAW_TP9_HJ_Activity,1743112.4315943588,2165324.975701208,422212.54410684947,24.221761973246196,Increase
BCM_vs_ACM,Gamma,1,TP9,HJ,Hjorth Complexity,RAW_TP9_HJ_Complexity,1.3388377742241586,1.327530712101502,-0.01130706212265653,-0.8445431059942153,Decrease
BCM_vs_ACM,Gamma,1,TP9,HJ,Hjorth Mobility,RAW_TP9_HJ_Mobility,0.6579397581297732,0.6634635502315851,0.005523792101811864,0.8395589464776411,Increase
BCM_vs_ACM,Gamma,2,AF7,EN,Entropy,RAW_AF7_EN,5.4119834186794815,5.408856558728593,-0.003126859950888239,-0.05777659887308356,Decrease
BCM_vs_ACM,Gamma,2,AF7,BP,Gamma Band Power,RAW_AF7_BP_Gamma,745607.9443196738,769444.039454628,23836.0951349542,3.196867109121715,Increase
BCM_vs_ACM,Gamma,2,AF7,RP,Gamma Relative Power,RAW_AF7_RP_Gamma,0.3964259182981892,0.3934524741926702,-0.002973444105518974,-0.750062992420785,Decrease
BCM_vs_ACM,Gamma,2,AF7,HJ,Hjorth Activity,RAW_AF7_HJ_Activity,1867226.3669121696,1988354.2196891163,121127.85277694673,6.487047040646482,Increase
BCM_vs_ACM,Gamma,2,AF7,HJ,Hjorth Complexity,RAW_AF7_HJ_Complexity,1.319795318758389,1.322202452431206,0.0024071336728168635,0.18238689277072137,Increase
BCM_vs_ACM,Gamma,2,AF7,HJ,Hjorth Mobility,RAW_AF7_HJ_Mobility,0.6692970455042596,0.6677769905434416,-0.0015200549608179736,-0.22711215760301745,Decrease
BCM_vs_ACM,Gamma,2,AF8,EN,Entropy,RAW_AF8_EN,5.398614739287038,5.405534740937624,0.0069200016505863715,0.12818106097158274,Increase
BCM_vs_ACM,Gamma,2,AF8,BP,Gamma Band Power,RAW_AF8_BP_Gamma,728837.1425478988,802792.8612091542,73955.71866125544,10.14708421729414,Increase
BCM_vs_ACM,Gamma,2,AF8,RP,Gamma Relative Power,RAW_AF8_RP_Gamma,0.3789376647696649,0.3934442530212174,0.014506588251552488,3.8282254840965027,Increase
BCM_vs_ACM,Gamma,2,AF8,HJ,Hjorth Activity,RAW_AF8_HJ_Activity,2011122.6005771067,2066398.893309006,55276.2927318993,2.7485292401386845,Increase
BCM_vs_ACM,Gamma,2,AF8,HJ,Hjorth Complexity,RAW_AF8_HJ_Complexity,1.3385115276272843,1.3246842267708203,-0.013827300856463998,-1.0330356198706032,Decrease
BCM_vs_ACM,Gamma,2,AF8,HJ,Hjorth Mobility,RAW_AF8_HJ_Mobility,0.6566344077551899,0.6662682846946467,0.009633876939456831,1.4671599333930407,Increase
BCM_vs_ACM,Gamma,2,TP10,EN,Entropy,RAW_TP10_EN,5.410969033941904,5.41828632999708,0.007317296055175504,0.1352307878547373,Increase
BCM_vs_ACM,Gamma,2,TP10,BP,Gamma Band Power,RAW_TP10_BP_Gamma,803164.6191472813,740865.5514675081,-62299.0676797732,-7.7566997094463686,Decrease
BCM_vs_ACM,Gamma,2,TP10,RP,Gamma Relative Power,RAW_TP10_RP_Gamma,0.3804140425804706,0.3750811876114259,-0.005332854969044731,-1.401855444891115,Decrease
BCM_vs_ACM,Gamma,2,TP10,HJ,Hjorth Activity,RAW_TP10_HJ_Activity,2148320.0167218493,2008452.9491912443,-139867.067530605,-6.510532250406068,Decrease
BCM_vs_ACM,Gamma,2,TP10,HJ,Hjorth Complexity,RAW_TP10_HJ_Complexity,1.343595014429876,1.3425839151260683,-0.0010110993038077165,-0.07525327892324411,Decrease
BCM_vs_ACM,Gamma,2,TP10,HJ,Hjorth Mobility,RAW_TP10_HJ_Mobility,0.6562053759978095,0.6544668691447602,-0.0017385068530493264,-0.2649333450531087,Decrease
BCM_vs_ACM,Gamma,2,TP9,EN,Entropy,RAW_TP9_EN,5.408965353979412,5.405230938189986,-0.0037344157894265706,-0.06904122221228753,Decrease
BCM_vs_ACM,Gamma,2,TP9,BP,Gamma Band Power,RAW_TP9_BP_Gamma,696917.683762606,634716.7219476291,-62200.96181497688,-8.92515188869345,Decrease
BCM_vs_ACM,Gamma,2,TP9,RP,Gamma Relative Power,RAW_TP9_RP_Gamma,0.3726487057324743,0.3729467509768551,0.0002980452443808179,0.07998021723837291,Increase
BCM_vs_ACM,Gamma,2,TP9,HJ,Hjorth Activity,RAW_TP9_HJ_Activity,1923825.114433187,1734524.070965334,-189301.043467853,-9.839825982499786,Decrease
BCM_vs_ACM,Gamma,2,TP9,HJ,Hjorth Complexity,RAW_TP9_HJ_Complexity,1.3453278039078678,1.348965016319165,0.0036372124112973303,0.2703588226402565,Increase
BCM_vs_ACM,Gamma,2,TP9,HJ,Hjorth Mobility,RAW_TP9_HJ_Mobility,0.6551247999362333,0.6517093823919121,-0.0034154175443211754,-0.5213384601916483,Decrease
BCM_vs_ACM,Gamma,9,AF7,EN,Entropy,RAW_AF7_EN,5.4071387915306985,5.404022063593096,-0.003116727937602981,-0.05764098274090486,Decrease
BCM_vs_ACM,Gamma,9,AF7,BP,Gamma Band Power,RAW_AF7_BP_Gamma,776683.2213582159,658690.0317585438,-117993.1895996721,-15.191932354780738,Decrease
BCM_vs_ACM,Gamma,9,AF7,RP,Gamma Relative Power,RAW_AF7_RP_Gamma,0.3938053253671632,0.4113442253690166,0.01753890000185343,4.453698025922096,Increase
BCM_vs_ACM,Gamma,9,AF7,HJ,Hjorth Activity,RAW_AF7_HJ_Activity,1946134.03390906,1622607.9068947118,-323526.1270143483,-16.6240413752235,Decrease
BCM_vs_ACM,Gamma,9,AF7,HJ,Hjorth Complexity,RAW_AF7_HJ_Complexity,1.3221644563585857,1.3067445068361954,-0.015419949522390342,-1.1662656221192713,Decrease
BCM_vs_ACM,Gamma,9,AF7,HJ,Hjorth Mobility,RAW_AF7_HJ_Mobility,0.6642478679397165,0.6762030114757714,0.01195514353605498,1.799801567016842,Increase
BCM_vs_ACM,Gamma,9,AF8,EN,Entropy,RAW_AF8_EN,5.402163873319425,5.408998618050714,0.006834744731289533,0.1265186486667951,Increase
BCM_vs_ACM,Gamma,9,AF8,BP,Gamma Band Power,RAW_AF8_BP_Gamma,803326.8186831005,703088.6997119624,-100238.11897113814,-12.477875335403246,Decrease
BCM_vs_ACM,Gamma,9,AF8,RP,Gamma Relative Power,RAW_AF8_RP_Gamma,0.3918773882210564,0.4016899993257586,0.009812611104702218,2.504000332667055,Increase
BCM_vs_ACM,Gamma,9,AF8,HJ,Hjorth Activity,RAW_AF8_HJ_Activity,2064720.8615673005,1756291.1424345723,-308429.7191327282,-14.938083150794704,Decrease
BCM_vs_ACM,Gamma,9,AF8,HJ,Hjorth Complexity,RAW_AF8_HJ_Complexity,1.3191598760040824,1.308252635652518,-0.010907240351564429,-0.8268323309380791,Decrease
BCM_vs_ACM,Gamma,9,AF8,HJ,Hjorth Mobility,RAW_AF8_HJ_Mobility,0.6671399929706834,0.6744665200222757,0.007326527051592313,1.0981993477813086,Increase
BCM_vs_ACM,Gamma,9,TP10,EN,Entropy,RAW_TP10_EN,5.401804718533586,5.410811539963174,0.00900682142958864,0.16673726465316763,Increase
BCM_vs_ACM,Gamma,9,TP10,BP,Gamma Band Power,RAW_TP10_BP_Gamma,767932.4728934894,643500.569186855,-124431.90370663442,-16.20349550238291,Decrease
BCM_vs_ACM,Gamma,9,TP10,RP,Gamma Relative Power,RAW_TP10_RP_Gamma,0.3830840967302591,0.3949156658905811,0.011831569160321964,3.0885043940241985,Increase
BCM_vs_ACM,Gamma,9,TP10,HJ,Hjorth Activity,RAW_TP10_HJ_Activity,2039021.703725758,1631243.8874710468,-407777.81625471124,-19.998699156051558,Decrease
BCM_vs_ACM,Gamma,9,TP10,HJ,Hjorth Complexity,RAW_TP10_HJ_Complexity,1.3319049774146134,1.305317550210008,-0.026587427204605385,-1.9961954985869002,Decrease
BCM_vs_ACM,Gamma,9,TP10,HJ,Hjorth Mobility,RAW_TP10_HJ_Mobility,0.6594870891850861,0.671367093009396,0.01188000382430987,1.801400515511188,Increase
