Condition_Pair,Band,Subject,Channel,Feature_Type,Feature,Source_Column,BF,AF,Change,Change_Percent,Direction
BF_vs_AF,Gamma,1,AF7,EN,Entropy,RAW_AF7_EN,5.402825132003376,5.405201674269435,0.0023765422660586566,0.04398702915593774,Increase
BF_vs_AF,Gamma,1,AF7,BP,Gamma Band Power,RAW_AF7_BP_Gamma,734791.7592767887,743392.752885208,8600.993608419318,1.1705348487964478,Increase
BF_vs_AF,Gamma,1,AF7,RP,Gamma Relative Power,RAW_AF7_RP_Gamma,0.3947035965499967,0.3815452889189569,-0.013158307631039812,-3.333718705898101,Decrease
BF_vs_AF,Gamma,1,AF7,HJ,Hjorth Activity,RAW_AF7_HJ_Activity,1877928.498986556,1972198.1872532272,94269.68826667126,5.019876332754144,Increase
BF_vs_AF,Gamma,1,AF7,HJ,Hjorth Complexity,RAW_AF7_HJ_Complexity,1.3139016413615554,1.3277981499701954,0.013896508608640001,1.0576521233537302,Increase
BF_vs_AF,Gamma,1,AF7,HJ,Hjorth Mobility,RAW_AF7_HJ_Mobility,0.6711509769711477,0.662233898285839,-0.008917078685308666,-1.3286248536135268,Decrease
BF_vs_AF,Gamma,1,AF8,EN,Entropy,RAW_AF8_EN,5.408981396228745,5.401801294159147,-0.007180102069598071,-0.13274407034574362,Decrease
BF_vs_AF,Gamma,1,AF8,BP,Gamma Band Power,RAW_AF8_BP_Gamma,699577.2824446342,713892.549150995,14315.266706360737,2.0462738092833472,Increase
BF_vs_AF,Gamma,1,AF8,RP,Gamma Relative Power,RAW_AF8_RP_Gamma,0.3850363082378922,0.402344008380005,0.017307700142112803,4.495082612162215,Increase
BF_vs_AF,Gamma,1,AF8,HJ,Hjorth Activity,RAW_AF8_HJ_Activity,1793028.1877018,1790254.0254517633,-2774.1622500366066,-0.15471938863339163,Decrease
BF_vs_AF,Gamma,1,AF8,HJ,Hjorth Complexity,RAW_AF8_HJ_Complexity,1.3226756299809153,1.311768029558697,-0.010907600422218167,-0.824661782146508,Decrease
BF_vs_AF,Gamma,1,AF8,HJ,Hjorth Mobility,RAW_AF8_HJ_Mobility,0.6659409247012404,0.6722464126404071,0.006305487939166632,0.946853948343158,Increase
BF_vs_AF,Gamma,1,TP10,EN,Entropy,RAW_TP10_EN,5.417307614662321,5.414887504374313,-0.002420110288007926,-0.044673672978394814,Decrease
BF_vs_AF,Gamma,1,TP10,BP,Gamma Band Power,RAW_TP10_BP_Gamma,714362.9667484908,755971.4837819973,41608.517033506534,5.8245624381807914,Increase
BF_vs_AF,Gamma,1,TP10,RP,Gamma Relative Power,RAW_TP10_RP_Gamma,0.3839098551065271,0.3873487505477707,0.0034388954412435946,0.895755968621689,Increase
BF_vs_AF,Gamma,1,TP10,HJ,Hjorth Activity,RAW_TP10_HJ_Activity,1878640.772773216,1944952.1537182608,66311.3809450448,3.5297531016085166,Increase
BF_vs_AF,Gamma,1,TP10,HJ,Hjorth Complexity,RAW_TP10_HJ_Complexity,1.3247888919826871,1.324804040179408,1.5148196720771168e-05,0.00114344231088021,Increase
BF_vs_AF,Gamma,1,TP10,HJ,Hjorth Mobility,RAW_TP10_HJ_Mobility,0.6627468245006571,0.6670050644532972,0.004258239952640075,0.6425138220539075,Increase
BF_vs_AF,Gamma,1,TP9,EN,Entropy,RAW_TP9_EN,5.410009140296133,5.40877929764175,-0.001229842654382196,-0.02273272784738543,Decrease
BF_vs_AF,Gamma,1,TP9,BP,Gamma Band Power,RAW_TP9_BP_Gamma,727289.6030045325,762716.2363271274,35426.63332259492,4.871049053395328,Increase
BF_vs_AF,Gamma,1,TP9,RP,Gamma Relative Power,RAW_TP9_RP_Gamma,0.3945898400127308,0.3830860879817346,-0.011503752030996184,-2.915369546926255,Decrease
BF_vs_AF,Gamma,1,TP9,HJ,Hjorth Activity,RAW_TP9_HJ_Activity,1917621.8123279165,2064939.8705613613,147318.0582334448,7.682331171160728,Increase
BF_vs_AF,Gamma,1,TP9,HJ,Hjorth Complexity,RAW_TP9_HJ_Complexity,1.3148771780587736,1.3294276108307368,0.014550432771963218,1.1066001459881472,Increase
BF_vs_AF,Gamma,1,TP9,HJ,Hjorth Mobility,RAW_TP9_HJ_Mobility,0.6707327937504237,0.660311216975648,-0.010421576774775732,-1.553759838773225,Decrease
BF_vs_AF,Gamma,2,AF7,EN,Entropy,RAW_AF7_EN,5.406896216260327,5.401133097281749,-0.0057631189785780634,-0.10658830404856777,Decrease
BF_vs_AF,Gamma,2,AF7,BP,Gamma Band Power,RAW_AF7_BP_Gamma,669798.623127745,691067.5816606221,21268.95853287715,3.1754258367325283,Increase
BF_vs_AF,Gamma,2,AF7,RP,Gamma Relative Power,RAW_AF7_RP_Gamma,0.4141332903482816,0.416253532343348,0.0021202419950663853,0.5119709147949166,Increase
BF_vs_AF,Gamma,2,AF7,HJ,Hjorth Activity,RAW_AF7_HJ_Activity,1684541.9531380087,1671963.5844207825,-12578.3687172262,-0.7466937047067831,Decrease
BF_vs_AF,Gamma,2,AF7,HJ,Hjorth Complexity,RAW_AF7_HJ_Complexity,1.3004500274496795,1.2958957377410478,-0.004554289708631698,-0.35020874408862473,Decrease
BF_vs_AF,Gamma,2,AF7,HJ,Hjorth Mobility,RAW_AF7_HJ_Mobility,0.6759978367910863,0.681814092787419,0.005816255996332731,0.8603956521432206,Increase
BF_vs_AF,Gamma,2,AF8,EN,Entropy,RAW_AF8_EN,5.39428976034464,5.40730166840247,0.01301190805782948,0.2412163349748967,Increase
BF_vs_AF,Gamma,2,AF8,BP,Gamma Band Power,RAW_AF8_BP_Gamma,657815.2872149716,676460.1719957604,18644.884780788794,2.834364774301105,Increase
BF_vs_AF,Gamma,2,AF8,RP,Gamma Relative Power,RAW_AF8_RP_Gamma,0.4035144079178836,0.4039073774158948,0.0003929694980111531,0.0973867327411822,Increase
BF_vs_AF,Gamma,2,AF8,HJ,Hjorth Activity,RAW_AF8_HJ_Activity,1719046.623233544,1731788.9407038,12742.317470256006,0.7412432739193298,Increase
BF_vs_AF,Gamma,2,AF8,HJ,Hjorth Complexity,RAW_AF8_HJ_Complexity,1.3017011538754977,1.3063749137067249,0.004673759831227198,0.3590501412180682,Increase
BF_vs_AF,Gamma,2,AF8,HJ,Hjorth Mobility,RAW_AF8_HJ_Mobility,0.6786471454900103,0.6749916004217427,-0.003655545068267596,-0.5386518005064542,Decrease
BF_vs_AF,Gamma,2,TP10,EN,Entropy,RAW_TP10_EN,5.402429921684916,5.408153099919273,0.00572317823435764,0.10593711195373895,Increase
BF_vs_AF,Gamma,2,TP10,BP,Gamma Band Power,RAW_TP10_BP_Gamma,734270.0767340062,645814.0405059799,-88456.03622802626,-12.046798450710936,Decrease
BF_vs_AF,Gamma,2,TP10,RP,Gamma Relative Power,RAW_TP10_RP_Gamma,0.4035094667184313,0.3859041575221454,-0.01760530919628589,-4.3630473751860865,Decrease
BF_vs_AF,Gamma,2,TP10,HJ,Hjorth Activity,RAW_TP10_HJ_Activity,1915812.2789246272,1739002.990864179,-176809.28806044813,-9.228946385065123,Decrease
